did,best_model,best_score,metric_used
45939,,,
43255,logreg,0.901479544731284,balanced_accuracy
44508,rf,0.704084229111492,balanced_accuracy
44510,rf,0.7607181804019317,balanced_accuracy
44511,rf,0.6964318170016097,balanced_accuracy
41705,,,
46800,,,
47044,logreg,0.5,balanced_accuracy
47051,logreg,0.5,balanced_accuracy
46871,,,
46905,,,
44709,,,
44712,,,
46420,,,
46564,,,
40981,,,
44484,,,
44485,,,
44487,,,
137,,,
4552,,,
46911,,,
44655,,,
44656,,,
44657,,,
45037,,,
45968,,,
45578,,,
46999,,,
44763,,,
44764,,,
44765,,,
46551,,,
46552,,,
46570,,,
4154,,,
46502,,,
46568,,,
46455,,,
46506,,,
46448,,,
46371,,,
45569,,,
44581,,,
44582,,,
46683,,,
46528,,,
46561,,,
46597,,,
45554,,,
41721,,,
41763,,,
41888,,,
41709,,,
41857,,,
41882,,,
41718,,,
41867,,,
41825,,,
41849,,,
41756,,,
41865,,,
41737,,,
41726,,,
41878,,,
41746,,,
41838,,,
41790,,,
41839,,,
41833,,,
41724,,,
41848,,,
41841,,,
41864,,,
41820,,,
41866,,,
41835,,,
41716,,,
41725,,,
41891,,,
41803,,,
41842,,,
41783,,,
41847,,,
41831,,,
41856,,,
41844,,,
41766,,,
41824,,,
41733,,,
41739,,,
41736,,,
41715,,,
41754,,,
41719,,,
41777,,,
41812,,,
41713,,,
41886,,,
41883,,,
41868,,,
41815,,,
41744,,,
41846,,,
41731,,,
41779,,,
41758,,,
41893,,,
41765,,,
41759,,,
41720,,,
41860,,,
41873,,,
41784,,,
41764,,,
41804,,,
41879,,,
41829,,,
41832,,,
41884,,,
41834,,,
41753,,,
41828,,,
41730,,,
41780,,,
41897,,,
41871,,,
41816,,,
41722,,,
44698,,,
44699,,,
44700,,,
44701,,,
46863,,,
46481,,,
46515,,,
46182,,,
46358,,,
40646,,,
40647,,,
40648,,,
40650,,,
46421,,,
46482,,,
46116,,,
4538,,,
46518,,,
46517,,,
46935,,,
44417,,,
44418,,,
44420,,,
46467,,,
45936,,,
44648,,,
44649,,,
44650,,,
44651,,,
44652,,,
46504,,,
